TitleId,PageId,Place,Latitude,Longitude,gazref
americanjournalo02amer,americanjournalo02amer_0007,Vienna,48.23268931765793,16.37980675602699,unlock:14121989
americanjournalo02amer,americanjournalo02amer_0007,PHILADELPHIA,40.33111,-75.24944000000001,unlock:8622739
americanjournalo02amer,americanjournalo02amer_0007,NEW YORK,42.75984507908728,-75.81017330585331,unlock:14128209
americanjournalo02amer,americanjournalo02amer_0007,BOSTON,42.29437357049622,-71.12910104068105,unlock:14125002
americanjournalo02amer,americanjournalo02amer_0007,Broadway,52.0823095681961,-1.873446302961901,unlock:8782862
americanjournalo02amer,americanjournalo02amer_0007,LONDON,51.48819488345327,-0.0873480518664991,unlock:13326794
americanjournalo02amer,americanjournalo02amer_0007,Paternoster,51.80533542284924,0.776228631771047,unlock:11241130
americanjournalo02amer,americanjournalo02amer_0007,TARIS,38.0333333,42.7833333,unlock:2156251
americanjournalo02amer,americanjournalo02amer_0007,MADRID,40.52117035578968,-3.817758856613807,unlock:14125681
americanjournalo02amer,americanjournalo02amer_0007,BERLIN,52.5027904321328,13.4212793313761,unlock:14124165
americanjournalo02amer,americanjournalo02amer_0009,North America,45.2425296081972,-94.88857066304371,unlock:14126407
americanjournalo02amer,americanjournalo02amer_0009,America,45.2425296081972,-94.88857066304371,unlock:14126407
americanjournalo02amer,americanjournalo02amer_0009,West Indies,18.5921389831972,-72.24046790272877,unlock:14133897
americanjournalo02amer,americanjournalo02amer_0009,Gadus,"","",""
americanjournalo02amer,americanjournalo02amer_0009,Geo,57.35,-6.63333,unlock:4565373
americanjournalo02amer,americanjournalo02amer_0009,Morch,42.8144444,44.7547222,unlock:2712233
americanjournalo02amer,americanjournalo02amer_0009,California,37.26582642255147,-119.2592266506394,unlock:14128162
americanjournalo02amer,americanjournalo02amer_0010,California,37.26582642255147,-119.2592266506394,unlock:14128162
americanjournalo02amer,americanjournalo02amer_0010,North America,45.2425296081972,-94.88857066304371,unlock:14126407
americanjournalo02amer,americanjournalo02amer_0010,West Indies,18.5921389831972,-72.24046790272877,unlock:14133897
americanjournalo02amer,americanjournalo02amer_0010,Philadelphia,40.33111,-75.24944000000001,unlock:8622739
americanjournalo02amer,americanjournalo02amer_0010,Isla de Cuba,29.5333333,-104.3666667,unlock:6381618
americanjournalo02amer,americanjournalo02amer_0010,Jeffreys,43.01667,-70.16667,unlock:7709199
americanjournalo02amer,americanjournalo02amer_0010,Jeffreys,43.01667,-70.16667,unlock:7709199
americanjournalo02amer,americanjournalo02amer_0010,Bains,41.7389829,-73.5620704,unlock:7848056
americanjournalo02amer,americanjournalo02amer_0010,Sahara,24.21411743190112,-12.892412475687,unlock:14127854
americanjournalo02amer,americanjournalo02amer_0010,Petersburg,59.95161225039863,30.29598898657133,unlock:14126191
americanjournalo02amer,americanjournalo02amer_0010,Dunker,41.0867635,-74.4771009,unlock:7837755
americanjournalo02amer,americanjournalo02amer_0010,Agassiz,48.36176178593158,-95.96706092030689,unlock:14134714
americanjournalo02amer,americanjournalo02amer_0011,Poulson,37.8759593,-75.6438174,unlock:7522902
americanjournalo02amer,americanjournalo02amer_0012,Polynesia,-36.20562102656842,172.1469832691462,unlock:14133957
americanjournalo02amer,americanjournalo02amer_0012,Mollusk,37.73279,-76.54156,unlock:10838547
americanjournalo02amer,americanjournalo02amer_0012,Columna,32.7019963,-117.1450323,unlock:8099163
americanjournalo02amer,americanjournalo02amer_0012,Guano Island,-35.838182539,174.590187633,unlock:6518653
americanjournalo02amer,americanjournalo02amer_0012,Navassa,18.40615153026704,-75.01673417226209,unlock:14127509
americanjournalo02amer,americanjournalo02amer_0012,California,37.26582642255147,-119.2592266506394,unlock:14128162
americanjournalo02amer,americanjournalo02amer_0012,Arizona,34.16531800017563,-111.9347512479217,unlock:14128161
americanjournalo02amer,americanjournalo02amer_0012,Vancouver,49.2128878851213,-122.9644922491701,unlock:14131337
americanjournalo02amer,americanjournalo02amer_0012,California,37.26582642255147,-119.2592266506394,unlock:14128162
americanjournalo02amer,americanjournalo02amer_0012,America,45.2425296081972,-94.88857066304371,unlock:14126407
americanjournalo02amer,americanjournalo02amer_0012,West Indies,18.5921389831972,-72.24046790272877,unlock:14133897
americanjournalo02amer,americanjournalo02amer_0012,London,51.48819488345327,-0.0873480518664991,unlock:13326794
americanjournalo02amer,americanjournalo02amer_0012,Cambridge,42.7378672,-71.3545075,unlock:7824442
americanjournalo02amer,americanjournalo02amer_0012,Mass.,42.06744548177375,-71.71587541376925,unlock:14128189
americanjournalo02amer,americanjournalo02amer_0013,America,51.88770172733783,175.62885582774,unlock:14126406
americanjournalo02amer,americanjournalo02amer_0013,West Indies,18.5921389831972,-72.24046790272877,unlock:14133897
americanjournalo02amer,americanjournalo02amer_0013,Vancouver,49.2128878851213,-122.9644922491701,unlock:14131337
americanjournalo02amer,americanjournalo02amer_0013,Californian Province,39.8924,-75.2895,unlock:10747179
americanjournalo02amer,americanjournalo02amer_0013,Gadus,"","",""
americanjournalo02amer,americanjournalo02amer_0013,California,37.26582642255147,-119.2592266506394,unlock:14128162
americanjournalo02amer,americanjournalo02amer_0014,California,37.26582642255147,-119.2592266506394,unlock:14128162
americanjournalo02amer,americanjournalo02amer_0014,Mollusk,32.9942174,-116.1616768,unlock:8114216
americanjournalo02amer,americanjournalo02amer_0014,California,37.26582642255147,-119.2592266506394,unlock:14128162
americanjournalo02amer,americanjournalo02amer_0014,Arizona,34.16531800017563,-111.9347512479217,unlock:14128161
americanjournalo02amer,americanjournalo02amer_0014,Morch,46.1666667,-1.2333333,unlock:5778121
americanjournalo02amer,americanjournalo02amer_0014,North America,51.88770172733783,175.62885582774,unlock:14126406
americanjournalo02amer,americanjournalo02amer_0014,United States,45.17115865071,0.3193392331551763,unlock:14128093
americanjournalo02amer,americanjournalo02amer_0014,United States,45.17115865071,0.3193392331551763,unlock:14128093
americanjournalo02amer,americanjournalo02amer_0014,Columna,32.7019963,-117.1450323,unlock:8099163
americanjournalo02amer,americanjournalo02amer_0014,Guano Island,-35.838182539,174.590187633,unlock:6518653
americanjournalo02amer,americanjournalo02amer_0014,Navassa,18.40615153026704,-75.01673417226209,unlock:14127509
americanjournalo02amer,americanjournalo02amer_0015,AMERICA,45.2425296081972,-94.88857066304371,unlock:14126407
americanjournalo02amer,americanjournalo02amer_0015,Boston,42.29437357049622,-71.12910104068105,unlock:14125002
americanjournalo02amer,americanjournalo02amer_0015,PHILADELPHIA,40.33111,-75.24944000000001,unlock:8622739
americanjournalo02amer,americanjournalo02amer_0015,NEW YORK,42.75984507908728,-75.81017330585331,unlock:14128209
americanjournalo02amer,americanjournalo02amer_0015,Broadway,52.0823095681961,-1.873446302961901,unlock:8782862
americanjournalo02amer,americanjournalo02amer_0015,PARIS,48.88293357407115,2.449746400731129,unlock:14121736
americanjournalo02amer,americanjournalo02amer_0015,MADRID,40.52117035578968,-3.817758856613807,unlock:14125681
americanjournalo02amer,americanjournalo02amer_0015,BERLIN,52.5027904321328,13.4212793313761,unlock:14124165
